9.3.0,9.4.0,Transition notes - some of these are EMS variable names
111,111,These numbers should be the number of report variables in the following list (including deletes). Two columns/numbers.
Other Equipment FuelOil#1 Rate,Other Equipment FuelOilNo1 Rate,
Other Equipment FuelOil#2 Rate,Other Equipment FuelOilNo2 Rate,
Exterior Equipment FuelOil#1 Energy,Exterior Equipment FuelOilNo1 Energy,
Exterior Equipment FuelOil#2 Energy,Exterior Equipment FuelOilNo2 Energy,
FuelOil#1:Facility,FuelOilNo1:Facility,
FuelOil#2:Facility,FuelOilNo2:Facility,
FuelOil#1:HVAC,FuelOilNo1:HVAC,
FuelOil#2:HVAC,FuelOilNo2:HVAC,
ExteriorEquipment:FuelOil#1,ExteriorEquipment:FuelOilNo1,
Cooling:FuelOil#1,Cooling:FuelOilNo1,
Heating:FuelOil#1,Heating:FuelOilNo1,
WaterSystems:FuelOil#1,WaterSystems:FuelOilNo1,
Cogeneration:FuelOil#1,Cogeneration:FuelOilNo1,
ExteriorEquipment:FuelOil#2,ExteriorEquipment:FuelOilNo2,
Cooling:FuelOil#2,Cooling:FuelOilNo2,
Heating:FuelOil#2,Heating:FuelOilNo2,
WaterSystems:FuelOil#2,WaterSystems:FuelOilNo2,
Cogeneration:FuelOil#2,Cogeneration:FuelOilNo2,
Chiller FuelOil#1 Rate,Chiller FuelOilNo1 Rate,
Chiller FuelOil#1 Energy,Chiller FuelOilNo1 Energy,
Chiller FuelOil#1 Mass Flow Rate,Chiller FuelOilNo1 Mass Flow Rate,
Chiller FuelOil#2 Rate,Chiller FuelOilNo2 Rate,
Chiller FuelOil#2 Energy,Chiller FuelOilNo2 Energy,
Chiller FuelOil#2 Mass Flow Rate,Chiller FuelOilNo2 Mass Flow Rate,
Boiler FuelOil#1 Rate,Boiler FuelOilNo1 Rate,
Boiler FuelOil#1 Energy,Boiler FuelOilNo1 Energy,
Boiler FuelOil#2 Rate,Boiler FuelOilNo2 Rate,
Boiler FuelOil#2 Energy,Boiler FuelOilNo2 Energy,
Cooling Coil FuelOil#1 Power,Cooling Coil FuelOilNo1 Power,
Cooling Coil FuelOil#1 Energy,Cooling Coil FuelOilNo1 Energy,
Cooling Coil FuelOil#2 Power,Cooling Coil FuelOilNo2 Power,
Cooling Coil FuelOil#2 Energy,Cooling Coil FuelOilNo2 Energy,
Generator FuelOil#1 Rate,Generator FuelOilNo1 Rate,
Generator FuelOil#1 Energy,Generator FuelOilNo1 Energy,
Generator FuelOil#1 Mass Flow Rate,Generator FuelOilNo1 Mass Flow Rate,
Generator FuelOil#2 Rate,Generator FuelOilNo2 Rate,
Generator FuelOil#2 Energy,Generator FuelOilNo2 Energy,
Generator FuelOil#2 Mass Flow Rate,Generator FuelOilNo2 Mass Flow Rate,
Generator FuelOil#1 HHV Basis Rate,Generator FuelOilNo1 HHV Basis Rate,
Generator FuelOil#1 HHV Basis Energy,Generator FuelOilNo1 HHV Basis Energy,
Generator FuelOil#2 HHV Basis Rate,Generator FuelOilNo2 HHV Basis Rate,
Generator FuelOil#2 HHV Basis Energy,Generator FuelOilNo2 HHV Basis Energy,
FuelOil#2Emissions:Source,FuelOilNo2Emissions:Source,
FuelOil#2Emissions:CO2,FuelOilNo2Emissions:CO2,
FuelOil#2Emissions:CO,FuelOilNo2Emissions:CO,
FuelOil#2Emissions:CH4,FuelOilNo2Emissions:CH4,
FuelOil#2Emissions:NOx,FuelOilNo2Emissions:NOx,
FuelOil#2Emissions:N2O,FuelOilNo2Emissions:N2O,
FuelOil#2Emissions:SO2,FuelOilNo2Emissions:SO2,
FuelOil#2Emissions:PM,FuelOilNo2Emissions:PM,
FuelOil#2Emissions:PM10,FuelOilNo2Emissions:PM10,
FuelOil#2Emissions:PM2.5,FuelOilNo2Emissions:PM2.5,
FuelOil#2Emissions:NH3,FuelOilNo2Emissions:NH3,
FuelOil#2Emissions:NMVOC,FuelOilNo2Emissions:NMVOC,
FuelOil#2Emissions:Hg,FuelOilNo2Emissions:Hg,
FuelOil#2Emissions:Pb,FuelOilNo2Emissions:Pb,
